SEED,SHOTS,DATASET,MODEL,BACKBONE,AVG ACC
42,1,artgraph,TIMO_S,RN101,43.42507645259939
42,2,artgraph,Tip_Adapter,RN101,41.59021406727829
42,2,artgraph,APE,RN101,50.45871559633027
42,2,artgraph,GDA_CLIP,RN101,47.09480122324159
42,2,artgraph,TIMO,RN101,49.84709480122324
42,2,artgraph,TIMO_S,RN101,48.92966360856269
42,4,artgraph,Tip_Adapter,RN101,45.25993883792049
42,4,artgraph,APE,RN101,51.07033639143731
42,4,artgraph,GDA_CLIP,RN101,57.79816513761468
42,4,artgraph,TIMO,RN101,61.7737003058104
42,4,artgraph,TIMO_S,RN101,62.691131498470945
42,8,artgraph,Tip_Adapter,RN101,48.92966360856269
42,8,artgraph,APE,RN101,55.96330275229358
42,8,artgraph,GDA_CLIP,RN101,61.7737003058104
42,8,artgraph,TIMO,RN101,63.91437308868502
42,8,artgraph,TIMO_S,RN101,64.52599388379205
42,16,artgraph,Tip_Adapter,RN101,51.37614678899082
42,16,artgraph,APE,RN101,58.40978593272171
42,16,artgraph,GDA_CLIP,RN101,70.33639143730886
42,16,artgraph,TIMO,RN101,70.33639143730886
